UNIDADE,UF,CIDADE ,DIA DE ATENDIMENTO,ROTA,QUAL VEÍCULO,TEMPO MÉDIO PARADO,
MG38,MG,CAMPO BELO,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,30,Cidade 11
MG38,MG,BOA ESPERANCA,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,10,Cidade 6
MG38,MG,ALFENAS,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,30,Cidade 2
MG38,MG,MACHADO,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,15,Cidade 35
MG38,MG,VARGINHA,TERÇA - QUINTA (VOLTA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,50,Cidade 70
MG38,MG,TRES PONTAS,TERÇA - QUINTA (VOLTA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,15,Cidade 68
MG38,MG,DEPÓSITO,,,CAMINHÃO 7,0,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 8,0,0
MG38,MG,OLIVEIRA,SEGUNDA - QUINTA (IDA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,15,Cidade 44
MG38,MG,TRES CORACOES,SEGUNDA - QUINTA (IDA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,25,Cidade 67
MG38,MG,SAO GONCALO DO SAPUCAI,SEGUNDA - QUINTA (IDA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5,Cidade 62
MG38,MG,POUSO ALEGRE,SEGUNDA - QUINTA (IDA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,75,Cidade 53
MG38,MG,LAVRAS,TERÇA - SEXTA (VOLTA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5,Cidade 33
MG38,MG,RIBEIRAO VERMELHO,TERÇA - SEXTA (VOLTA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5,Cidade 56
MG38,MG,CARMOPOLIS DE MINAS,TERÇA - SEXTA (VOLTA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5,Cidade 13
MG38,MG,DEPÓSITO,,,CAMINHÃO 8,0,0
