,,,,30/09 - 04/10,,07/10 - 11/10,,14/10 - 18/10,Demanda Hipotética,,21/10 - 25/10,,28/10 - 01/11,,,,,,,
Cidades,Latitude,Longitude,Tempo Parada,1ª S - 1ª R,1ª S - 2ª R,2ª S - 1ª R,2ª S - 2ª R,3ªS - 1ª R,Primeira,3ªS - 2ª R,4ªS - 1ª R,4ªS - 2ª R,5ªS - 1ª R,5ªS - 2ª R,,,,,Média - 30%,Demanda
CONFINS,-19.62909581641355,-43.98983281730939,5,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
LAGOA SANTA,-19.646889081960744,-43.90671742413578,10,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
BELA VISTA DE MINAS,-19.827809759589766,-43.096654298731686,5,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
TIMOTEO,-19.54509047412781,-42.640778184641924,5,0,1,0,1,1,0,1,1,1,1,1,0,,,,"0,7",0
ERVALIA,-20.840382288381235,-42.65683342242601,5,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
MIRADOURO,-20.890721898870872,-42.33979571488018,10,0,0,0,0,0,0,4,0,0,0,0,ND,,,,0,0
FERVEDOURO,-20.72727831597005,-42.280876132153,10,0,0,0,0,0,0,0,0,0,0,4,ND,,,,"0,7",0
BURITIZEIRO,-17.379421115741646,-44.968628336906306,5,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
BUENOPOLIS,-17.87410187238058,-44.17396124468617,5,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
RIBEIRAO VERMELHO,-21.1856191170545,-45.06026232013788,5,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
